lead_score,1,2,generation
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",136
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",137
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",138
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",139
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",140
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",141
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",142
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",143
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",144
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",145
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",146
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",147
43.93609449999991,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",148
43.936094499999854,"['anchor_bead', 'SN4', 'SN4', 'SN4', 'SN4']","['anchor_bead', 'TC6']",149
